p,Method,rel_risk
100,"StochOptForest
(apx-risk)",1.4527110304725472
100,"StochOptForest
(apx-risk)",1.5827442250705899
100,"StochOptForest
(apx-risk)",1.4846867274467086
100,"StochOptForest
(apx-risk)",1.6013497004731712
100,"StochOptForest
(apx-risk)",1.4487160591735773
100,5-NN,2.8401305369666323
100,5-NN,3.551986320185949
100,5-NN,3.583962877571609
100,5-NN,3.3423483593581325
100,5-NN,3.385974205803929
100,5-NN,3.189274992179831
100,5-NN,3.077736962373047
100,5-NN,2.927906650479556
100,5-NN,4.030941104760236
100,5-NN,2.957483541349138
100,5-NN,3.808140941464094
100,5-NN,3.215542327150675
100,5-NN,3.102500659958288
100,5-NN,3.43715830544042
100,5-NN,2.681470611069539
100,5-NN,3.2334808120080103
100,5-NN,3.6021035179718086
100,5-NN,3.265733719972847
100,5-NN,3.9130170617051463
100,5-NN,3.6183911497287204
100,5-NN,3.5306983534371117
100,5-NN,3.2908463767945326
100,5-NN,3.5534308557493572
100,5-NN,3.439569028469333
100,5-NN,2.995027145519107
100,5-NN,3.679018700781115
100,5-NN,3.806436516419149
100,5-NN,3.1735723011878796
100,5-NN,3.14908697867585
100,5-NN,3.1866150665399577
100,5-NN,3.6555831697517007
100,5-NN,2.8358945167544816
100,5-NN,3.270314906820391
100,5-NN,3.1050255903754973
100,5-NN,3.067292681967068
100,5-NN,3.1917288188173325
100,5-NN,3.1672410338418095
100,5-NN,2.818563110255107
100,5-NN,2.950976459505556
100,5-NN,3.2619539674062414
100,5-NN,2.9246280059517313
100,5-NN,2.716628893019242
100,5-NN,3.2015285546744994
100,5-NN,3.3354143483378804
100,5-NN,3.0954766975846595
100,5-NN,3.0717745614597285
100,5-NN,2.802043760882404
100,5-NN,2.648245759675879
100,5-NN,2.9763538590664114
100,5-NN,3.4232550985296504
100,10-NN,2.5091928560657477
100,10-NN,2.9697880145272917
100,10-NN,3.0672485604305337
100,10-NN,2.8018103799694294
100,10-NN,2.878205672885459
100,10-NN,2.452356137135027
100,10-NN,2.4173770294092307
100,10-NN,2.942774802425215
100,10-NN,3.465418635707186
100,10-NN,2.7786774560586727
100,10-NN,3.400544465862548
100,10-NN,2.778363471054341
100,10-NN,2.7902379731516205
100,10-NN,2.7610639665425145
100,10-NN,2.476294236021376
100,10-NN,2.5331708017387284
100,10-NN,3.0046459773833805
100,10-NN,2.739090683346134
100,10-NN,3.280912586895305
100,10-NN,2.9046855088597208
100,10-NN,3.2082351224515495
